path,detector,facial_landmarker,landmarks,time,face_boxes
my_images\4.jpg,dlib_hog_based,dlib_facial_landmark,"[(305, 233), (306, 238), (307, 244), (309, 249), (312, 253), (317, 256), (323, 258), (329, 259), (334, 258), (338, 257), (340, 254), (342, 251), (343, 246), (344, 242), (344, 238), (343, 234), (343, 230), (313, 228), (316, 226), (320, 224), (324, 224), (329, 225), (334, 225), (336, 223), (339, 223), (341, 224), (342, 225), (332, 229), (333, 231), (334, 233), (335, 236), (329, 240), (331, 240), (333, 240), (335, 240), (336, 239), (318, 231), (321, 230), (323, 229), (325, 230), (323, 231), (321, 231), (334, 230), (336, 229), (338, 229), (339, 230), (338, 231), (336, 231), (326, 247), (329, 245), (332, 244), (334, 245), (335, 244), (337, 245), (338, 246), (337, 248), (336, 249), (334, 249), (332, 249), (329, 249), (327, 247), (332, 246), (334, 246), (335, 246), (338, 246), (335, 246), (334, 247), (332, 247)]",0.0019936561584472656,"[(309, 214, 43, 43)]"
my_images\4.jpg,dlib_hog_based,cnn_facial_landmark,"[(311, 234), (312, 238), (313, 243), (314, 247), (316, 251), (319, 254), (323, 257), (328, 258), (332, 258), (337, 257), (340, 254), (342, 251), (344, 248), (345, 243), (345, 239), (345, 235), (345, 231), (316, 228), (318, 225), (321, 224), (325, 224), (328, 225), (334, 224), (336, 223), (339, 223), (342, 223), (343, 225), (331, 228), (332, 231), (332, 234), (333, 236), (329, 240), (330, 240), (332, 240), (334, 240), (335, 239), (320, 230), (322, 229), (324, 229), (326, 230), (324, 231), (322, 231), (335, 229), (337, 228), (339, 228), (341, 229), (339, 230), (337, 230), (325, 247), (328, 245), (331, 243), (332, 244), (334, 243), (336, 244), (338, 246), (336, 248), (334, 249), (332, 250), (330, 250), (328, 249), (326, 247), (330, 245), (332, 245), (334, 245), (337, 246), (334, 247), (332, 247), (330, 247)]",0.025964736938476562,"[(309, 214, 43, 43)]"
my_images\4.jpg,dnn_frontol_face,dlib_facial_landmark,null,['null'],[]
my_images\4.jpg,dnn_frontol_face,cnn_facial_landmark,null,['null'],[]
my_images\5.jpg,mtcnn,dlib_facial_landmark,"[(273, 367), (274, 386), (274, 406), (275, 425), (279, 443), (288, 458), (301, 469), (315, 479), (332, 482), (348, 479), (365, 470), (380, 459), (392, 444), (400, 426), (403, 406), (404, 384), (405, 362), (274, 361), (282, 351), (293, 348), (306, 347), (318, 351), (335, 350), (349, 345), (363, 344), (378, 347), (389, 357), (327, 363), (326, 375), (325, 387), (325, 399), (314, 409), (321, 411), (328, 413), (337, 410), (345, 407), (287, 368), (294, 363), (302, 363), (312, 368), (303, 369), (294, 370), (348, 366), (356, 360), (364, 360), (373, 364), (365, 367), (356, 367), (303, 431), (312, 429), (323, 427), (332, 429), (340, 425), (352, 424), (364, 424), (353, 436), (341, 442), (332, 444), (323, 444), (313, 440), (306, 432), (323, 433), (332, 434), (340, 432), (360, 426), (341, 431), (332, 434), (323, 433)]",0.0029916763305664062,"[(274, 307, 130, 164)]"
my_images\5.jpg,mtcnn,cnn_facial_landmark,"[(272, 374), (274, 391), (277, 407), (281, 423), (287, 439), (297, 452), (310, 464), (324, 473), (341, 474), (358, 470), (374, 461), (387, 449), (398, 434), (403, 417), (406, 399), (406, 381), (406, 363), (276, 360), (283, 352), (293, 349), (305, 350), (315, 353), (337, 350), (349, 344), (362, 342), (375, 344), (385, 350), (327, 363), (327, 374), (328, 385), (328, 397), (317, 406), (323, 408), (331, 409), (338, 406), (345, 403), (289, 370), (296, 365), (304, 364), (312, 368), (305, 371), (296, 371), (348, 365), (356, 359), (364, 359), (372, 362), (365, 365), (357, 365), (309, 428), (317, 423), (326, 420), (333, 421), (340, 419), (352, 420), (364, 423), (354, 435), (344, 441), (335, 442), (328, 441), (318, 438), (313, 428), (326, 425), (333, 426), (341, 424), (359, 425), (342, 432), (334, 433), (327, 433)]",0.02692723274230957,"[(274, 307, 130, 164)]"
my_images\5.jpg,haar_cascade,dlib_facial_landmark,"[(602, 706), (601, 722), (603, 739), (609, 756), (615, 771), (624, 784), (635, 795), (647, 804), (662, 808), (677, 806), (693, 799), (708, 789), (720, 776), (727, 760), (731, 744), (731, 727), (732, 711), (611, 687), (619, 681), (632, 679), (644, 682), (656, 687), (672, 686), (684, 681), (697, 680), (710, 682), (719, 690), (663, 699), (663, 709), (661, 719), (660, 730), (645, 738), (653, 742), (661, 744), (670, 742), (678, 739), (621, 700), (629, 696), (639, 697), (646, 703), (638, 705), (629, 705), (682, 703), (690, 697), (699, 697), (707, 702), (700, 705), (691, 705), (638, 765), (646, 757), (655, 753), (661, 755), (668, 754), (679, 758), (689, 767), (679, 774), (668, 775), (661, 775), (655, 774), (646, 770), (642, 765), (655, 760), (661, 760), (669, 760), (685, 766), (668, 766), (661, 767), (655, 765)]",0.002992391586303711,"[(585, 646, 152, 152), (247, 301, 165, 165)]"
my_images\5.jpg,haar_cascade,cnn_facial_landmark,"[(618, 698), (618, 715), (619, 732), (623, 748), (629, 763), (637, 775), (647, 784), (659, 788), (672, 788), (681, 783), (687, 775), (692, 765), (697, 756), (703, 746), (707, 734), (709, 722), (711, 710), (645, 693), (654, 692), (665, 693), (673, 695), (681, 700), (688, 702), (693, 699), (699, 697), (705, 695), (710, 696), (685, 710), (684, 719), (683, 728), (683, 739), (669, 742), (674, 745), (680, 748), (684, 748), (687, 745), (654, 706), (661, 705), (667, 706), (672, 710), (666, 710), (660, 709), (688, 711), (692, 709), (697, 709), (700, 711), (697, 713), (692, 713), (656, 756), (663, 754), (670, 754), (674, 755), (677, 755), (680, 757), (681, 761), (678, 764), (674, 765), (671, 765), (666, 764), (661, 762), (658, 757), (669, 758), (673, 758), (676, 759), (679, 761), (676, 760), (673, 760), (668, 759)]",0.02593207359313965,"[(585, 646, 152, 152), (247, 301, 165, 165)]"
my_images\5.jpg,dlib_hog_based,dlib_facial_landmark,"[(263, 368), (265, 386), (268, 405), (271, 422), (276, 439), (285, 453), (299, 465), (316, 474), (334, 476), (352, 472), (369, 464), (384, 452), (395, 438), (401, 421), (404, 403), (406, 384), (408, 365), (272, 362), (278, 352), (290, 348), (304, 347), (317, 350), (335, 349), (349, 345), (364, 345), (379, 349), (390, 359), (326, 362), (325, 375), (325, 387), (324, 400), (314, 409), (320, 410), (328, 411), (336, 409), (344, 406), (286, 368), (293, 364), (302, 363), (311, 368), (302, 370), (293, 370), (349, 366), (356, 361), (365, 361), (373, 365), (365, 367), (357, 367), (303, 430), (313, 429), (323, 426), (332, 427), (340, 424), (352, 425), (363, 424), (353, 434), (342, 439), (333, 441), (323, 440), (313, 437), (307, 431), (323, 432), (332, 433), (340, 431), (359, 426), (341, 430), (332, 432), (323, 431)]",0.0038475990295410156,"[(253, 322, 155, 155)]"
my_images\5.jpg,dlib_hog_based,cnn_facial_landmark,"[(268, 372), (269, 390), (271, 408), (274, 426), (280, 442), (289, 457), (302, 469), (317, 478), (335, 479), (353, 474), (368, 463), (379, 449), (388, 434), (392, 417), (393, 400), (394, 383), (394, 367), (274, 364), (281, 355), (293, 351), (306, 351), (318, 354), (337, 352), (349, 347), (362, 345), (374, 347), (383, 356), (328, 363), (328, 374), (328, 385), (328, 397), (315, 405), (321, 408), (329, 410), (337, 407), (344, 404), (289, 369), (295, 365), (304, 364), (311, 368), (304, 370), (296, 370), (346, 365), (354, 359), (362, 359), (369, 363), (363, 365), (354, 365), (303, 429), (312, 423), (322, 421), (330, 422), (338, 420), (349, 421), (360, 425), (350, 437), (340, 442), (331, 443), (323, 442), (313, 439), (307, 429), (322, 426), (330, 427), (339, 425), (355, 426), (339, 433), (330, 435), (323, 434)]",0.02497124671936035,"[(253, 322, 155, 155)]"
